lodging_id;lodging_code;lodging_name;latitude;longitude;state
1;0x80c8dae62e7dbaaf:0xd30feda3d0851444;The Suites Boulder Highway;36.116725;-115.0679423;NV
2;0x80990aa2fd553e63:0x151102a1b673901c;Silver Queen Inn;39.1676941;-119.768219;NV
3;0x80990abda2db4213:0x7a05c184f1d87001;Roundhouse Inn;39.1729477;-119.7670934;NV
4;0x8099225f746c934d:0x275b77de4045461a;World Famous Mustang Ranch;39.5441551;-119.5553588;NV
5;0x80c8cdfde192106f:0x3c9f129657bafe14;Allure Floatspa;35.9956552;-115.1000669;NV
6;0x80c8c022a436cb27:0x899b31e4fefe80e;Dolphin Court Salon & Day Spa;36.194575;-115.2589805;NV
7;0x80c8c377584fbfcf:0x73336cb8a6e11a6d;Clairbnb;36.1618019;-115.1362793;NV
8;0x80c8c45b320e5b47:0x108fed061a645b93;Siegel Suites Twain;36.1208532;-115.1529343;NV
9;0x80c8c4304c19a51f:0x2d689be38834e892;Starpoint Resort Group;36.1101322;-115.1751284;NV
10;0x80c8db27a47f9527:0xee444626c300384;Town and Country II;36.1250989;-115.0797689;NV
11;0x80c8c5ca75bc5fc7:0x5e5fda46afde4c9a;Americas Best Value Inn Las Vegas;36.0995491;-115.1652331;NV
12;0x80990aa1c8f63e95:0xb71fab78b690ffe4;Historic Carson Hot Springs;39.1933202;-119.7519016;NV
13;0x8099474ed85b9a9d:0xf0e2b6b18d1aaba9;Americas Best Value Inn Reno;39.5360439;-119.8051304;NV
14;0x8099473525dd010f:0xd4565aee0f5d4cd;Ace Motor Lodge;39.5273019;-119.8144088;NV
15;0x80c8b8d366420d83:0xd0ea7ee16a6aebe6;Siena Golf Club;36.107854;-115.324623;NV
16;0x80990afaa30fa139:0xd7e175d73e3eb067;Carson Hot Springs Resort;39.1933202;-119.7519016;NV
17;0x80c8c43c0adf776b:0xde6b80d5d049381c;Imperial Palace;36.1180103;-115.1726342;NV
18;0x80c8d7b9ac35e61b:0x29e6a0a1c2e445fd;Lake Las Vegas;36.0872257;-114.9312035;NV
19;0x80c8c43b2e7a89dd:0x25732030bbfbd35c;Octavius Tower Caesars;36.1152346;-115.1775885;NV
20;0x80c8c538c6a9a8c5:0x5963c4a2d87bfeb5;Flamingo casino Las Vegas;36.1164889;-115.1707691;NV
